passenger_id,driver_id,time_of_trip,weight
P4,D43,evening,0
P4,D54,morning,0
P4,D25,morning,0
P4,D48,night,0
P4,D71,morning,0
P4,D12,afternoon,0
P4,D32,morning,0
P4,D87,morning,0
P4,D49,afternoon,0
P4,D55,morning,0
P4,D63,night,0
P4,D36,morning,1
P4,D52,evening,0
P4,D84,night,0
P4,D23,morning,0
P4,D19,morning,0
P4,D33,morning,4
P4,D13,night,0
P4,D74,afternoon,0
P4,D24,afternoon,0
P4,D50,evening,0
P4,D57,morning,0
P4,D8,morning,0
P4,D53,evening,0
P4,D56,afternoon,3
P4,D62,afternoon,0
P4,D76,morning,0
P4,D22,evening,0
P4,D29,night,0
P4,D5,morning,0
P4,D80,morning,0
P4,D39,morning,0
P4,D72,evening,0
P4,D51,afternoon,0
P4,D64,night,0
P4,D69,afternoon,0
P4,D58,afternoon,2
P4,D11,morning,1
P4,D34,afternoon,0
P4,D28,night,0
P4,D68,evening,0
P4,D88,evening,0
P4,D42,morning,3
P4,D38,afternoon,0
P5,D30,afternoon,2
P5,D2,night,0
P5,D83,morning,0
P5,D51,afternoon,0
P5,D76,evening,5
P5,D20,morning,1
P5,D88,afternoon,0
P5,D17,evening,0
P5,D25,morning,2
P5,D23,afternoon,0
P5,D11,night,5
P5,D43,evening,0
P5,D89,evening,1
P5,D38,afternoon,3
P5,D48,afternoon,0
P5,D59,afternoon,2
P5,D14,afternoon,0
P5,D68,morning,5
P5,D58,afternoon,3
P5,D81,afternoon,0
P5,D54,afternoon,0
P5,D0,night,1
P5,D63,afternoon,0
P5,D41,evening,0
P5,D79,afternoon,0
P5,D87,morning,0
P5,D67,evening,0
P5,D56,evening,3
P5,D74,afternoon,5
P5,D3,night,0
P5,D64,night,0
P5,D40,morning,5
P5,D80,afternoon,7
P5,D42,morning,1
P5,D46,afternoon,0
P5,D49,morning,0
P5,D16,afternoon,0
P5,D19,afternoon,1
P5,D34,morning,0
P5,D70,evening,1
P5,D50,night,0
P5,D55,afternoon,0
P5,D4,morning,0
P5,D78,morning,0
P5,D33,morning,5
P5,D66,night,4
P5,D77,morning,0
P5,D28,night,5
P5,D47,afternoon,2
P5,D26,morning,0
P5,D7,evening,0
P5,D35,evening,3
P5,D84,afternoon,2
P5,D72,afternoon,7
P5,D6,evening,0
P5,D39,evening,1
P5,D8,evening,0
P5,D52,evening,0
P5,D29,night,0
P5,D53,afternoon,0
P6,D41,morning,0
P6,D78,morning,0
P6,D25,night,0
P6,D48,morning,0
P6,D77,morning,0
P6,D57,morning,0
P6,D40,night,0
P6,D61,morning,0
P6,D28,night,5
P6,D24,evening,0
P6,D65,evening,3
P6,D81,morning,0
P6,D54,afternoon,0
P6,D87,afternoon,0
P6,D49,morning,0
P6,D14,evening,0
P6,D63,evening,3
P6,D33,afternoon,2
P6,D47,morning,5
P6,D0,afternoon,0
P6,D66,afternoon,7
P6,D11,morning,5
P6,D58,morning,0
P6,D60,night,0
P6,D22,morning,5
P6,D38,afternoon,5
P6,D46,morning,0
P6,D55,morning,0
P6,D6,evening,0
P6,D84,evening,0
P6,D83,night,0
P6,D1,night,5
P6,D67,afternoon,0
P6,D20,evening,0
P6,D79,afternoon,0
P6,D34,morning,0
P6,D32,evening,0
P6,D86,morning,3
P6,D9,evening,0
P6,D45,night,5
P6,D62,morning,0
P6,D16,night,3
P6,D8,morning,0
P6,D5,evening,1
P6,D21,afternoon,0
P6,D44,morning,3
P6,D56,morning,5
P6,D75,night,0
P6,D31,evening,0
P6,D3,morning,0
P6,D53,afternoon,0
P6,D71,afternoon,0
P6,D64,evening,0
P6,D30,morning,5
P6,D15,evening,1
P6,D35,night,0
P6,D72,morning,0
P6,D39,night,0
P6,D10,morning,0
P6,D36,night,0
P7,D70,morning,0
P7,D28,evening,0
P7,D81,night,0
P7,D22,morning,0
P7,D41,evening,0
P7,D7,afternoon,2
P7,D73,evening,0
P7,D75,night,0
P7,D5,evening,0
P7,D20,evening,0
P7,D40,evening,0
P7,D87,night,0
P7,D80,evening,0
P7,D60,afternoon,0
P7,D36,night,0
P7,D61,evening,0
P7,D84,morning,0
P7,D43,evening,0
P7,D26,night,0
P7,D88,morning,0
P7,D50,evening,0
P7,D49,night,0
P7,D54,morning,0
P7,D25,night,0
P7,D4,morning,0
P7,D33,night,1
P7,D74,afternoon,0
P7,D47,afternoon,0
P7,D65,afternoon,0
P7,D37,evening,0
P7,D42,afternoon,0
P7,D27,morning,0
P7,D9,morning,0
P7,D69,night,0
P7,D8,morning,0
P7,D53,night,0
P7,D38,evening,0
P7,D15,evening,0
P7,D76,night,0
P7,D6,night,0
P7,D34,evening,0
P7,D39,morning,0
P7,D10,morning,0
P7,D16,afternoon,0
P7,D29,evening,0
P7,D83,evening,0
P7,D57,evening,0
P7,D24,morning,0
P7,D3,evening,0
P7,D14,evening,0
P7,D66,night,0
P7,D11,afternoon,0
P7,D44,morning,0
P7,D17,afternoon,0
P7,D19,evening,0
P7,D56,evening,2
P7,D46,night,0
P7,D51,morning,0
P7,D23,morning,0
P7,D2,night,0
P8,D44,evening,0
P8,D9,afternoon,0
P8,D56,morning,1
P8,D1,night,0
P8,D60,evening,0
P8,D12,morning,0
P8,D63,morning,0
P8,D11,morning,5
P8,D3,evening,0
P8,D78,night,0
P8,D45,night,2
P8,D10,afternoon,0
P8,D50,afternoon,0
P8,D58,evening,0
P8,D64,afternoon,0
P8,D15,afternoon,0
P8,D74,night,4
P8,D61,morning,0
P8,D24,evening,0
P8,D54,night,0
P8,D82,night,0
P8,D41,evening,0
P8,D0,afternoon,0
P8,D46,evening,0
P8,D34,morning,0
P8,D14,night,0
P8,D81,evening,0
P8,D38,afternoon,0
P8,D21,morning,0
P8,D69,night,0
P8,D18,evening,0
P8,D42,morning,3
P8,D80,afternoon,2
P8,D36,night,0
P8,D20,night,0
P8,D57,night,0
P8,D67,night,0
P8,D8,afternoon,0
P8,D2,evening,0
P8,D86,evening,0
P8,D4,evening,0
P8,D68,afternoon,3
P8,D87,morning,0
P8,D29,evening,0
P8,D62,afternoon,0
P8,D43,morning,0
P8,D55,night,0
P8,D70,evening,0
P8,D25,night,0
P8,D76,evening,2
P8,D28,morning,4
P8,D71,morning,0
P8,D53,afternoon,0
P8,D77,evening,0
P8,D13,evening,0
P8,D5,morning,0
P8,D30,night,2
P8,D85,afternoon,5
P8,D66,night,0
P8,D59,night,7
P9,D40,afternoon,0
P9,D42,night,0
P9,D70,night,0
P9,D77,afternoon,0
P9,D22,morning,0
P9,D18,evening,0
P9,D28,morning,4
P9,D51,morning,0
P9,D64,night,2
P9,D53,night,0
P9,D68,afternoon,0
P9,D72,morning,0
P9,D86,morning,0
P9,D24,morning,0
P9,D44,afternoon,0
P9,D20,afternoon,0
P9,D76,evening,2
P9,D85,evening,2
P9,D4,afternoon,0
P9,D56,evening,0
P9,D61,morning,2
P9,D50,morning,0
P9,D23,night,0
P9,D75,night,0
P9,D14,night,0
P9,D55,evening,0
P9,D82,morning,0
P9,D17,evening,0
P9,D30,afternoon,0
P9,D32,afternoon,0
P9,D48,night,0
P9,D46,afternoon,0
P9,D6,morning,0
P9,D74,morning,2
P9,D65,evening,0
P9,D63,evening,0
P9,D89,evening,0
P9,D26,night,0
P9,D67,afternoon,0
P9,D1,night,0
P9,D8,morning,0
P9,D0,morning,0
P9,D58,evening,0
P9,D45,morning,0
P9,D34,afternoon,0
P9,D27,afternoon,2
P9,D25,afternoon,0
P9,D49,morning,0
P9,D2,afternoon,0
P9,D41,afternoon,0
P9,D11,evening,0
P9,D83,night,0
P9,D35,morning,0
P9,D13,night,0
P9,D87,night,0
P9,D57,afternoon,2
P9,D29,evening,0
P9,D33,night,0
P9,D79,morning,0
P9,D62,morning,0
P10,D50,morning,0
P10,D28,morning,4
P10,D63,morning,0
P10,D18,morning,0
P10,D55,afternoon,0
P10,D82,morning,0
P10,D41,evening,4
P10,D80,morning,0
P10,D65,night,0
P10,D79,morning,0
P10,D53,afternoon,0
P10,D44,evening,0
P10,D77,morning,0
P10,D42,night,0
P10,D9,evening,0
P10,D85,morning,2
P10,D61,afternoon,0
P10,D15,night,2
P10,D33,morning,2
P10,D16,afternoon,0
P10,D67,night,0
P10,D45,night,2
P10,D51,afternoon,0
P10,D7,morning,0
P10,D72,morning,0
P10,D83,afternoon,0
P10,D25,night,0
P10,D4,afternoon,0
P10,D30,evening,4
P10,D24,evening,0
P10,D76,afternoon,0
P10,D89,morning,0
P10,D32,afternoon,0
P10,D38,night,0
P10,D13,evening,0
P10,D48,afternoon,0
P10,D58,morning,0
P10,D21,morning,2
P10,D20,evening,2
P10,D19,evening,0
P10,D17,evening,0
P10,D88,evening,0
P10,D22,evening,0
P10,D52,afternoon,0
P10,D59,night,4
P10,D78,evening,0
P10,D6,night,0
P10,D5,evening,6
P10,D66,night,0
P10,D12,afternoon,0
P10,D87,evening,0
P10,D35,morning,0
P10,D75,morning,0
P10,D71,afternoon,0
P10,D60,night,0
P10,D43,morning,0
P10,D73,night,0
P10,D54,afternoon,0
P10,D68,morning,0
P10,D62,morning,0
P11,D4,morning,0
P11,D9,night,0
P11,D79,night,0
P11,D82,evening,0
P11,D67,morning,0
P11,D70,night,2
P11,D59,morning,2
P11,D20,evening,2
P11,D61,morning,4
P11,D13,morning,0
P11,D28,evening,4
P11,D23,evening,0
P11,D74,afternoon,2
P11,D12,evening,0
P11,D48,afternoon,0
P11,D73,evening,0
P11,D0,evening,2
P11,D71,evening,0
P11,D47,night,0
P11,D64,morning,0
P11,D6,morning,0
P11,D68,evening,0
P11,D30,morning,2
P11,D24,morning,0
P11,D1,morning,0
P11,D49,evening,0
P11,D36,afternoon,0
P11,D37,night,2
P11,D63,morning,0
P11,D19,morning,0
P11,D14,evening,0
P11,D60,evening,0
P11,D21,evening,0
P11,D78,afternoon,4
P11,D50,evening,0
P11,D86,evening,0
P11,D66,night,0
P11,D69,evening,0
P11,D83,morning,0
P11,D52,evening,0
P11,D55,evening,0
P11,D35,evening,0
P11,D87,morning,0
P11,D34,afternoon,2
P11,D31,morning,0
P11,D65,night,0
P11,D80,morning,0
P11,D15,night,0
P11,D62,night,0
P11,D41,afternoon,0
P11,D45,evening,0
P11,D2,afternoon,0
P11,D44,afternoon,0
P11,D11,afternoon,0
P11,D8,morning,0
P11,D18,evening,0
P11,D32,afternoon,0
P11,D43,night,2
P11,D88,afternoon,0
P11,D57,afternoon,2
P12,D71,night,0
P12,D18,morning,0
P12,D0,evening,0
P12,D40,night,0
P12,D21,evening,0
P12,D34,evening,0
P12,D69,evening,0
P12,D43,night,0
P12,D66,morning,0
P12,D9,evening,0
P12,D15,afternoon,0
P12,D76,morning,0
P12,D39,evening,3
P12,D55,evening,0
P12,D88,evening,0
P12,D62,night,0
P12,D67,night,0
P12,D19,afternoon,3
P12,D7,night,0
P12,D14,morning,3
P12,D13,morning,0
P12,D80,night,0
P12,D26,evening,0
P12,D16,evening,0
P12,D65,night,3
P12,D58,morning,0
P12,D42,afternoon,3
P12,D81,afternoon,0
P12,D61,morning,0
P12,D27,afternoon,0
P12,D72,morning,0
P12,D79,afternoon,0
P12,D63,night,3
P12,D30,morning,3
P12,D78,afternoon,0
P12,D24,afternoon,0
P12,D89,morning,0
P12,D60,morning,0
P12,D38,night,3
P12,D2,night,0
P12,D49,morning,0
P12,D74,afternoon,3
P12,D25,night,0
P12,D5,afternoon,0
P12,D12,evening,0
P12,D1,evening,0
P12,D20,morning,0
P12,D54,evening,0
P12,D51,afternoon,0
P12,D85,night,5
P12,D84,morning,3
P12,D8,afternoon,0
P12,D23,afternoon,0
P12,D31,evening,0
P12,D53,night,0
P12,D50,evening,0
P12,D46,night,3
P12,D37,morning,0
P12,D59,evening,0
P12,D45,evening,0
P13,D39,morning,0
P13,D9,evening,0
P13,D10,afternoon,0
P13,D25,morning,0
P13,D62,evening,0
P13,D78,morning,0
P13,D37,morning,0
P13,D66,afternoon,0
P13,D55,morning,0
P13,D60,afternoon,0
P13,D11,evening,0
P13,D48,night,0
P13,D71,evening,0
P13,D23,evening,0
P13,D42,afternoon,0
P13,D67,evening,0
P13,D18,afternoon,0
P13,D8,morning,0
P13,D26,night,0
P13,D79,night,0
P13,D63,morning,0
P13,D3,night,0
P13,D13,afternoon,0
P13,D57,night,0
P13,D54,morning,0
P13,D17,morning,0
P13,D86,afternoon,0
P13,D21,night,0
P13,D80,night,0
P13,D73,afternoon,0
P13,D74,morning,0
P13,D56,afternoon,0
P13,D27,morning,0
P13,D81,night,0
P13,D72,afternoon,0
P13,D59,evening,0
P13,D16,evening,0
P13,D50,night,0
P13,D52,afternoon,0
P13,D12,night,2
P13,D15,afternoon,0
P13,D41,night,0
P13,D84,afternoon,0
P13,D75,afternoon,0
P13,D68,evening,0
P13,D70,evening,0
P13,D4,afternoon,0
P13,D28,evening,0
P13,D32,evening,0
P13,D88,night,0
P13,D47,evening,0
P13,D83,evening,0
P13,D36,afternoon,0
P13,D7,evening,0
P13,D53,morning,0
P13,D29,evening,0
P13,D34,evening,0
P13,D35,night,0
P13,D6,afternoon,0
P13,D76,afternoon,0
P14,D71,morning,0
P14,D7,night,0
P14,D51,morning,0
P14,D30,afternoon,2
P14,D53,morning,0
P14,D80,afternoon,2
P14,D14,night,0
P14,D66,evening,0
P14,D45,morning,0
P14,D36,afternoon,0
P14,D87,night,0
P14,D38,night,0
P14,D70,evening,0
P14,D81,morning,0
P14,D8,night,0
P14,D72,night,0
P14,D33,evening,2
P14,D60,night,0
P14,D12,afternoon,0
P14,D40,afternoon,0
P14,D84,morning,2
P14,D29,morning,0
P14,D11,afternoon,0
P14,D15,morning,0
P14,D28,afternoon,0
P14,D23,night,0
P14,D85,night,5
P14,D82,evening,0
P14,D57,evening,0
P14,D2,night,0
P14,D26,night,0
P14,D31,afternoon,1
P14,D68,morning,3
P14,D83,evening,0
P14,D48,morning,0
P14,D59,night,7
P14,D6,morning,0
P14,D63,morning,0
P14,D0,morning,0
P14,D1,afternoon,0
P14,D32,evening,0
P14,D49,morning,0
P14,D52,night,0
P14,D67,morning,0
P14,D58,morning,0
P14,D37,night,0
P14,D73,evening,1
P14,D16,evening,0
P14,D43,evening,0
P14,D9,evening,0
P14,D4,evening,0
P14,D34,evening,0
P14,D50,evening,0
P14,D25,afternoon,0
P14,D5,morning,0
P14,D46,afternoon,0
P14,D78,evening,0
P14,D42,night,3
P14,D22,night,0
P14,D61,afternoon,0
P15,D78,morning,2
P15,D54,afternoon,0
P15,D1,night,0
P15,D81,night,0
P15,D4,evening,0
P15,D12,evening,0
P15,D28,morning,2
P15,D30,morning,4
P15,D62,afternoon,0
P15,D68,morning,2
P15,D33,afternoon,0
P15,D26,night,0
P15,D63,afternoon,0
P15,D25,afternoon,0
P15,D22,evening,0
P15,D23,evening,0
P15,D49,night,0
P15,D16,afternoon,0
P15,D71,afternoon,0
P15,D38,afternoon,0
P15,D72,afternoon,4
P15,D75,night,0
P15,D74,morning,2
P15,D11,afternoon,0
P15,D58,afternoon,0
P15,D44,afternoon,0
P15,D64,afternoon,0
P15,D29,evening,0
P15,D37,morning,2
P15,D70,night,4
P15,D10,afternoon,0
P15,D42,morning,0
P15,D2,evening,0
P15,D18,morning,0
P15,D31,afternoon,4
P15,D73,morning,0
P15,D14,morning,0
P15,D52,afternoon,0
P15,D43,afternoon,0
P15,D57,evening,0
P15,D86,afternoon,0
P15,D65,afternoon,0
P15,D40,afternoon,0
P15,D34,evening,0
P15,D27,morning,0
P15,D36,morning,0
P15,D24,evening,0
P15,D61,evening,2
P15,D50,night,0
P15,D15,night,0
P15,D76,night,2
P15,D41,evening,2
P15,D39,evening,0
P15,D84,evening,0
P15,D47,morning,4
P15,D7,night,0
P15,D3,afternoon,0
P15,D87,night,0
P15,D53,morning,0
P15,D17,night,0
P16,D52,night,0
P16,D87,afternoon,0
P16,D58,night,0
P16,D31,night,0
P16,D34,night,0
P16,D33,evening,2
P16,D74,evening,0
P16,D64,night,0
P16,D1,afternoon,0
P16,D0,afternoon,0
P16,D36,evening,3
P16,D89,afternoon,0
P16,D75,evening,0
P16,D83,night,0
P16,D47,evening,0
P16,D37,morning,0
P16,D59,afternoon,0
P16,D14,evening,0
P16,D73,evening,3
P16,D67,afternoon,0
P16,D8,afternoon,0
P16,D32,evening,0
P16,D23,morning,0
P16,D56,morning,3
P16,D45,evening,0
P16,D49,morning,0
P16,D40,morning,3
P16,D25,afternoon,0
P16,D10,night,0
P16,D69,morning,0
P16,D50,morning,0
P16,D55,night,0
P16,D35,morning,0
P16,D41,night,0
P16,D85,night,5
P16,D68,afternoon,3
P16,D19,morning,0
P16,D15,morning,0
P16,D57,night,0
P16,D27,morning,0
P16,D60,morning,0
P16,D53,evening,0
P16,D13,night,0
P16,D22,afternoon,0
P16,D2,evening,0
P16,D39,morning,0
P16,D3,evening,0
P16,D82,evening,0
P16,D4,evening,0
P16,D61,evening,0
P16,D65,morning,0
P16,D9,morning,0
P16,D77,evening,0
P16,D5,morning,0
P16,D7,evening,0
P16,D63,afternoon,0
P16,D80,night,0
P16,D86,afternoon,0
P16,D66,afternoon,2
P16,D79,evening,0
P17,D52,evening,0
P17,D88,night,0
P17,D25,night,0
P17,D65,evening,0
P17,D6,afternoon,0
P17,D74,evening,0
P17,D77,morning,0
P17,D72,afternoon,0
P17,D40,morning,0
P17,D15,morning,0
P17,D3,afternoon,0
P17,D28,night,0
P17,D2,night,0
P17,D55,morning,0
P17,D9,night,0
P17,D62,afternoon,0
P17,D36,night,0
P17,D64,night,0
P17,D34,evening,0
P17,D10,morning,0
P17,D30,morning,0
P17,D45,afternoon,0
P17,D70,afternoon,0
P17,D69,night,0
P17,D37,evening,0
P17,D84,morning,0
P17,D43,evening,0
P17,D53,night,0
P17,D0,night,0
P17,D11,night,0
P17,D51,afternoon,0
P17,D19,afternoon,0
P17,D81,evening,0
P17,D12,afternoon,0
P17,D14,evening,0
P17,D66,evening,0
P17,D49,afternoon,0
P17,D89,evening,0
P17,D56,afternoon,0
P17,D46,afternoon,0
P17,D33,afternoon,0
P17,D5,evening,0
P17,D18,night,0
P17,D21,morning,0
P17,D54,evening,0
P17,D76,night,0
P17,D42,evening,0
P17,D44,morning,0
P17,D57,afternoon,0
P17,D82,night,0
P17,D75,afternoon,0
P17,D60,night,0
P17,D1,evening,0
P17,D17,evening,0
P17,D80,night,0
P17,D59,afternoon,0
P17,D32,night,0
P17,D79,night,0
P17,D22,evening,0
P17,D38,morning,0
P18,D22,night,0
P18,D31,night,1
P18,D18,night,0
P18,D24,night,0
P18,D87,morning,0
P18,D89,afternoon,0
P18,D42,night,1
P18,D82,evening,0
P18,D79,afternoon,0
P18,D72,night,0
P18,D58,night,0
P18,D30,afternoon,0
P18,D85,night,5
P18,D76,afternoon,0
P18,D47,afternoon,0
P18,D34,night,0
P18,D60,afternoon,0
P18,D10,night,0
P18,D27,morning,0
P18,D7,evening,0
P18,D21,afternoon,0
P18,D5,evening,1
P18,D62,night,0
P18,D68,afternoon,3
P18,D51,night,0
P18,D45,afternoon,3
P18,D44,evening,0
P18,D56,evening,0
P18,D88,morning,0
P18,D6,evening,0
P18,D81,afternoon,0
P18,D25,evening,5
P18,D3,morning,1
P18,D33,morning,3
P18,D53,night,0
P18,D52,afternoon,0
P18,D23,evening,0
P18,D20,night,0
P18,D70,morning,0
P18,D84,night,0
P18,D36,morning,1
P18,D37,evening,0
P18,D41,night,0
P18,D71,evening,0
P18,D66,night,0
P18,D64,night,0
P18,D35,morning,0
P18,D8,evening,0
P18,D2,night,0
P18,D69,evening,0
P18,D55,evening,0
P18,D49,morning,0
P18,D50,morning,0
P18,D86,night,0
P18,D46,morning,0
P18,D59,evening,0
P18,D13,evening,0
P18,D1,evening,0
P18,D19,night,1
P18,D40,night,0
P19,D83,afternoon,0
P19,D55,evening,0
P19,D43,evening,0
P19,D59,night,3
P19,D10,afternoon,0
P19,D1,evening,0
P19,D34,evening,0
P19,D24,morning,0
P19,D27,morning,0
P19,D22,morning,0
P19,D12,night,0
P19,D62,night,0
P19,D15,afternoon,0
P19,D78,afternoon,0
P19,D41,evening,0
P19,D61,evening,0
P19,D71,afternoon,0
P19,D7,afternoon,0
P19,D30,morning,3
P19,D18,night,0
P19,D84,night,0
P19,D79,night,0
P19,D13,evening,0
P19,D37,morning,0
P19,D14,evening,0
P19,D86,night,0
P19,D60,afternoon,0
P19,D11,afternoon,0
P19,D67,evening,0
P19,D47,morning,1
P19,D88,afternoon,0
P19,D2,afternoon,0
P19,D56,morning,1
P19,D28,evening,3
P19,D54,afternoon,0
P19,D38,night,1
P19,D39,night,0
P19,D31,afternoon,0
P19,D17,morning,0
P19,D49,morning,0
P19,D5,afternoon,0
P19,D65,morning,0
P19,D4,evening,0
P19,D73,night,0
P19,D25,night,0
P19,D20,morning,0
P19,D69,evening,0
P19,D57,morning,0
P19,D36,afternoon,0
P19,D85,night,3
P19,D64,morning,0
P19,D44,morning,1
P19,D51,afternoon,0
P19,D74,morning,1
P19,D9,morning,0
P19,D45,afternoon,1
P19,D48,morning,0
P19,D68,evening,0
P19,D16,morning,0
P19,D87,evening,0
P20,D16,evening,0
P20,D87,morning,0
P20,D45,morning,0
P20,D46,night,0
P20,D12,afternoon,2
P20,D37,morning,0
P20,D8,night,2
P20,D6,night,0
P20,D88,afternoon,0
P20,D11,night,0
P20,D79,night,0
P20,D5,evening,0
P20,D83,afternoon,0
P20,D18,afternoon,0
P20,D44,evening,0
P20,D68,morning,0
P20,D67,night,0
P20,D0,evening,0
P20,D40,afternoon,0
P20,D28,evening,0
P20,D74,morning,0
P20,D30,evening,0
P20,D55,night,0
P20,D17,evening,0
P20,D51,morning,0
P20,D82,evening,0
P20,D19,afternoon,0
P20,D84,morning,0
P20,D9,afternoon,0
P20,D47,night,0
P20,D89,evening,0
P20,D65,afternoon,0
P20,D56,night,0
P20,D41,night,0
P20,D58,evening,0
P20,D69,morning,0
P20,D73,evening,0
P20,D86,afternoon,0
P20,D39,evening,0
