passenger_id,driver_id,time_of_trip,interaction
P2,D38,night,1
P2,D40,evening,1
P2,D39,afternoon,0
P2,D24,night,0
P2,D75,night,1
P2,D20,night,1
P2,D85,evening,0
P2,D69,afternoon,0
P2,D50,evening,0
P2,D4,night,0
P2,D19,evening,0
P2,D77,evening,0
P2,D42,morning,0
P2,D16,night,0
P2,D31,evening,0
P2,D57,evening,0
P2,D64,night,0
P2,D33,night,0
P2,D28,evening,1
P2,D55,morning,0
P2,D76,night,0
P2,D32,evening,1
P2,D34,morning,0
P2,D27,afternoon,0
P2,D83,evening,0
P2,D65,morning,0
P2,D47,night,0
P2,D86,night,1
P2,D44,afternoon,0
P2,D15,evening,0
P2,D21,morning,0
P2,D5,evening,0
P2,D87,night,0
P2,D41,evening,0
P2,D58,night,0
P2,D17,night,0
P2,D48,night,0
P2,D3,afternoon,0
P2,D72,night,1
P2,D60,afternoon,0
P2,D30,night,0
P2,D52,evening,0
P2,D22,evening,0
P2,D25,night,0
P2,D10,afternoon,1
P2,D68,morning,1
P2,D46,evening,0
P2,D13,morning,0
P2,D43,afternoon,0
P2,D63,morning,0
P2,D81,afternoon,1
P2,D89,afternoon,0
P2,D84,evening,0
P2,D82,morning,0
P2,D54,night,0
P2,D78,night,0
P2,D8,morning,1
P2,D45,afternoon,0
P2,D66,morning,0
P3,D32,evening,1
P3,D36,morning,1
P3,D70,morning,0
P3,D11,afternoon,0
P3,D80,morning,0
P3,D55,afternoon,0
P3,D29,night,0
P3,D68,evening,0
P3,D88,night,0
P3,D53,evening,0
P3,D38,night,1
P3,D15,night,0
P3,D61,night,0
P3,D8,night,0
P3,D56,evening,1
P3,D16,evening,1
P3,D64,evening,0
P3,D0,night,0
P3,D74,morning,0
P3,D82,afternoon,0
P3,D27,evening,0
P3,D79,night,1
P3,D44,night,0
P3,D81,evening,1
P3,D59,evening,0
P3,D86,morning,0
P3,D72,evening,0
P3,D7,afternoon,0
P3,D57,afternoon,0
P3,D75,morning,0
P3,D5,night,0
P3,D1,evening,0
P3,D66,morning,0
P3,D78,morning,0
P3,D12,afternoon,0
P3,D62,morning,0
P3,D41,morning,0
P3,D87,evening,0
P3,D43,morning,0
P3,D33,morning,0
P3,D71,evening,0
P3,D3,evening,0
P3,D18,evening,0
P3,D34,evening,0
P3,D4,night,0
P3,D25,morning,0
P3,D21,morning,0
P3,D31,evening,0
P3,D76,morning,0
P3,D83,evening,0
P3,D10,morning,1
P3,D37,evening,0
P3,D45,night,0
P3,D60,evening,0
P3,D26,morning,0
P3,D39,afternoon,0
P3,D51,morning,1
P3,D9,night,0
P3,D30,evening,0
P3,D65,morning,0
P4,D46,afternoon,0
P4,D85,night,0
P4,D58,night,0
P4,D16,afternoon,0
P4,D80,night,1
P4,D45,afternoon,0
P4,D6,afternoon,0
P4,D39,night,0
P4,D88,evening,0
P4,D53,evening,1
P4,D72,night,0
P4,D77,afternoon,0
P4,D64,night,0
P4,D62,night,0
P4,D22,night,0
P4,D0,night,1
P4,D20,night,0
P4,D21,morning,0
P4,D66,morning,0
P4,D34,night,0
P4,D68,morning,0
P4,D56,afternoon,0
P4,D63,morning,0
P4,D89,night,0
P4,D43,afternoon,0
P4,D28,evening,0
P4,D36,night,1
P4,D76,night,0
P4,D3,evening,0
P4,D51,morning,0
P4,D9,night,0
P4,D41,evening,0
P4,D33,afternoon,0
P4,D11,evening,0
P4,D55,night,0
P4,D14,night,0
P4,D17,night,0
P4,D52,night,0
P4,D12,evening,0
P4,D57,afternoon,0
P4,D60,morning,0
P4,D8,evening,0
P4,D27,afternoon,0
P4,D71,afternoon,0
P4,D15,morning,0
P4,D69,afternoon,0
P4,D25,night,0
P4,D13,night,0
P4,D4,morning,0
P4,D82,evening,0
P4,D79,morning,0
P4,D32,night,0
P4,D75,morning,0
P4,D67,afternoon,0
P4,D1,evening,0
P4,D83,afternoon,0
P4,D44,morning,0
P4,D23,morning,0
P4,D5,evening,0
P4,D40,evening,0
P5,D51,evening,0
P5,D14,morning,0
P5,D2,evening,0
P5,D15,evening,0
P5,D16,afternoon,0
P5,D0,night,1
P5,D9,night,0
P5,D36,afternoon,0
P5,D55,morning,0
P5,D70,night,0
P5,D1,night,0
P5,D18,morning,0
P5,D38,night,0
P5,D78,night,0
P5,D56,morning,0
P5,D89,night,0
P5,D34,afternoon,0
P5,D60,night,0
P5,D63,afternoon,0
P5,D62,evening,0
P5,D53,afternoon,0
P5,D58,night,0
P5,D47,night,0
P5,D26,night,0
P5,D72,evening,0
P5,D22,morning,0
P5,D81,evening,1
P5,D66,night,0
P5,D5,evening,0
P5,D21,night,0
P5,D42,afternoon,0
P5,D31,evening,0
P5,D57,morning,0
P5,D8,evening,0
P5,D37,night,0
P5,D35,afternoon,0
P5,D65,morning,0
P5,D52,evening,0
P5,D54,evening,0
P5,D23,morning,1
P5,D39,night,0
P5,D44,afternoon,0
P5,D82,night,0
P5,D84,afternoon,0
P5,D61,afternoon,0
P5,D64,night,1
P5,D71,morning,0
P5,D69,evening,0
P5,D76,afternoon,0
P5,D10,evening,0
P5,D88,night,0
P5,D41,night,0
P5,D24,evening,0
P5,D13,night,0
P5,D30,afternoon,0
P5,D4,morning,0
P5,D59,afternoon,0
P5,D40,evening,0
P5,D11,night,0
P5,D86,night,0
P6,D29,night,0
P6,D14,night,0
P6,D36,morning,1
P6,D11,night,0
P6,D77,evening,0
P6,D13,night,0
P6,D33,night,0
P6,D45,afternoon,1
P6,D27,morning,0
P6,D2,night,0
P6,D8,afternoon,0
P6,D44,afternoon,0
P6,D21,afternoon,0
P6,D25,evening,1
P6,D18,morning,0
P6,D37,afternoon,0
P6,D88,night,0
P6,D61,evening,0
P6,D42,evening,0
P6,D66,afternoon,0
P6,D55,evening,0
P6,D23,afternoon,1
P6,D7,morning,0
P6,D85,morning,0
P6,D5,night,0
P6,D34,morning,0
P6,D71,afternoon,0
P6,D53,morning,0
P6,D41,afternoon,0
P6,D70,evening,0
P6,D35,afternoon,0
P6,D87,morning,0
P6,D16,afternoon,0
P6,D56,night,0
P6,D51,afternoon,0
P6,D60,evening,0
P6,D49,night,0
P6,D65,morning,0
P6,D46,afternoon,0
P6,D54,morning,0
P6,D28,afternoon,0
P6,D43,morning,0
P6,D3,afternoon,0
P6,D48,night,0
P6,D22,evening,0
P6,D58,morning,0
P6,D47,night,0
P6,D86,afternoon,0
P6,D40,morning,0
P6,D52,evening,0
P6,D72,night,0
P6,D83,evening,0
P6,D84,night,0
P6,D9,evening,0
P6,D30,afternoon,0
P6,D32,afternoon,0
P6,D74,evening,0
P6,D10,evening,0
P6,D15,night,0
P6,D57,night,0
P7,D55,night,0
P7,D26,evening,0
P7,D21,morning,0
P7,D16,evening,0
P7,D71,evening,0
P7,D57,afternoon,0
P7,D22,night,0
P7,D42,afternoon,1
P7,D80,evening,1
P7,D0,morning,1
P7,D44,afternoon,0
P7,D66,evening,0
P7,D82,morning,0
P7,D32,night,0
P7,D36,evening,1
P7,D73,night,0
P7,D41,morning,0
P7,D34,evening,0
P7,D2,afternoon,0
P7,D70,evening,0
P7,D79,afternoon,0
P7,D64,evening,0
P7,D28,morning,1
P7,D8,afternoon,0
P7,D53,evening,1
P7,D49,afternoon,0
P7,D7,morning,0
P7,D1,morning,0
P7,D23,morning,1
P7,D6,evening,0
P7,D67,morning,0
P7,D69,night,0
P7,D14,afternoon,0
P7,D58,night,0
P7,D10,evening,0
P7,D59,afternoon,0
P7,D85,evening,0
P7,D3,night,0
P7,D19,morning,0
P7,D54,evening,0
P7,D46,afternoon,0
P7,D47,evening,0
P7,D48,night,0
P7,D89,afternoon,0
P7,D45,morning,0
P7,D75,evening,0
P7,D68,evening,1
P7,D31,evening,0
P7,D18,afternoon,0
P7,D76,night,0
P7,D25,afternoon,0
P7,D38,night,0
P7,D5,evening,0
P7,D56,night,1
P7,D51,morning,1
P7,D30,evening,0
P7,D37,evening,0
P7,D11,morning,0
P7,D15,afternoon,0
P7,D4,afternoon,0
P8,D37,night,0
P8,D83,evening,0
P8,D63,night,0
P8,D73,evening,0
P8,D58,morning,0
P8,D33,morning,0
P8,D80,evening,0
P8,D49,afternoon,0
P8,D78,afternoon,0
P8,D69,morning,1
P8,D31,evening,0
P8,D72,morning,0
P8,D79,afternoon,0
P8,D17,morning,0
P8,D52,night,0
P8,D43,morning,1
P8,D46,morning,0
P8,D4,evening,0
P8,D13,night,0
P8,D16,evening,1
P8,D32,evening,1
P8,D57,morning,1
P8,D6,morning,0
P8,D36,evening,1
P8,D45,afternoon,0
P8,D15,night,1
P8,D3,afternoon,0
P8,D77,night,0
P8,D27,morning,0
P8,D1,afternoon,0
P8,D5,night,0
P8,D85,evening,0
P8,D10,morning,1
P8,D62,night,0
P8,D30,morning,0
P8,D54,evening,1
P8,D48,afternoon,0
P8,D26,night,0
P8,D23,night,1
P8,D66,morning,0
P8,D50,afternoon,0
P8,D41,evening,0
P8,D65,morning,0
P8,D64,afternoon,0
P8,D20,evening,0
P8,D82,evening,0
P8,D11,afternoon,0
P8,D87,evening,0
P8,D89,night,0
P8,D24,evening,0
P8,D44,afternoon,0
P8,D68,night,0
P8,D12,afternoon,0
P8,D51,morning,1
P8,D34,evening,0
P8,D81,night,1
P8,D61,afternoon,0
P8,D86,afternoon,0
P8,D9,evening,0
P8,D29,night,0
P9,D48,morning,0
P9,D54,afternoon,0
P9,D27,evening,0
P9,D11,morning,0
P9,D12,evening,0
P9,D73,afternoon,0
P9,D49,evening,0
P9,D8,night,0
P9,D55,evening,0
P9,D34,morning,0
P9,D57,night,0
P9,D53,night,0
P9,D68,afternoon,0
P9,D58,night,0
P9,D82,morning,0
P9,D14,morning,0
P9,D59,morning,0
P9,D18,afternoon,0
P9,D77,evening,0
P9,D44,evening,0
P9,D46,morning,0
P9,D78,evening,1
P9,D84,afternoon,0
P9,D28,morning,0
P9,D0,evening,0
P9,D64,morning,0
P9,D50,evening,1
P9,D65,morning,1
P9,D88,night,0
P9,D22,morning,0
P9,D39,morning,0
P9,D24,morning,1
P9,D33,morning,0
P9,D37,evening,0
P9,D30,night,0
P9,D7,night,0
P9,D89,night,0
P9,D5,morning,0
P9,D31,night,0
P9,D26,night,0
P9,D69,morning,0
P9,D35,afternoon,0
P9,D66,morning,1
P9,D38,afternoon,1
P9,D17,afternoon,0
P9,D63,afternoon,1
P9,D43,morning,0
P9,D15,morning,0
P9,D47,evening,0
P9,D2,afternoon,1
P9,D40,evening,0
P9,D45,night,0
P9,D13,afternoon,1
P9,D52,evening,0
P9,D41,afternoon,0
P9,D51,morning,1
P9,D16,night,0
P9,D21,morning,0
P9,D83,evening,0
P9,D19,evening,0
P10,D11,night,0
P10,D10,evening,0
P10,D41,morning,0
P10,D17,morning,0
P10,D18,evening,0
P10,D76,afternoon,0
P10,D64,morning,0
P10,D74,evening,1
P10,D34,evening,0
P10,D39,morning,0
P10,D42,morning,0
P10,D2,morning,0
P10,D81,evening,1
P10,D45,evening,0
P10,D66,morning,0
P10,D65,afternoon,0
P10,D54,evening,1
P10,D3,morning,0
P10,D77,morning,0
P10,D53,night,0
P10,D67,night,0
P10,D49,night,0
P10,D43,afternoon,0
P10,D21,afternoon,0
P10,D26,night,0
P10,D28,afternoon,0
P10,D50,afternoon,0
P10,D32,night,0
P10,D31,afternoon,0
P10,D46,evening,1
P10,D61,afternoon,0
P10,D88,evening,0
P10,D80,night,0
P10,D86,afternoon,0
P10,D52,night,0
P10,D47,afternoon,0
P10,D22,night,1
P10,D30,afternoon,0
P10,D60,evening,0
P10,D37,morning,0
P10,D9,morning,0
P10,D5,morning,0
P10,D13,night,0
P10,D1,night,0
P10,D38,afternoon,1
P10,D12,morning,0
P10,D84,evening,0
P10,D56,night,0
P10,D62,evening,0
P10,D79,evening,0
P10,D72,night,0
P10,D16,evening,1
P10,D14,evening,1
P10,D71,afternoon,0
P10,D85,morning,0
P10,D48,night,0
P10,D63,night,0
P10,D8,morning,0
P10,D23,evening,0
P10,D25,morning,0
P11,D87,afternoon,0
P11,D64,morning,0
P11,D15,evening,0
P11,D55,night,0
P11,D25,morning,0
P11,D26,night,0
P11,D20,morning,0
P11,D24,morning,1
P11,D85,afternoon,0
P11,D42,night,0
P11,D40,evening,1
P11,D31,morning,0
P11,D47,night,0
P11,D50,night,0
P11,D10,evening,0
P11,D21,afternoon,0
P11,D34,night,0
P11,D80,evening,0
P11,D59,evening,1
P11,D0,night,0
P11,D27,night,0
P11,D12,morning,0
P11,D68,night,1
P11,D79,night,1
P11,D62,afternoon,0
P11,D45,evening,0
P11,D69,afternoon,1
P11,D54,afternoon,0
P11,D57,night,0
P11,D71,night,0
P11,D74,afternoon,0
P11,D53,evening,0
P11,D52,night,0
P11,D78,morning,0
P11,D49,morning,1
P11,D66,afternoon,0
P11,D39,night,0
P11,D73,evening,1
P11,D14,morning,0
P11,D22,evening,0
P11,D35,afternoon,1
P11,D37,evening,0
P11,D44,night,1
P11,D13,morning,0
P11,D9,morning,0
P11,D5,night,0
P11,D36,afternoon,1
P11,D30,night,0
P11,D41,evening,0
P11,D23,afternoon,1
P11,D61,evening,0
P11,D1,evening,0
P11,D72,evening,0
P11,D51,afternoon,1
P11,D6,afternoon,0
P11,D76,night,0
P11,D77,night,0
P11,D75,afternoon,0
P11,D7,morning,0
P11,D48,morning,0
P12,D67,afternoon,0
P12,D8,evening,0
P12,D60,night,0
P12,D32,evening,0
P12,D11,afternoon,0
P12,D79,afternoon,0
P12,D70,afternoon,0
P12,D65,afternoon,0
P12,D27,night,0
P12,D66,afternoon,0
P12,D47,afternoon,0
P12,D40,afternoon,0
P12,D82,morning,0
P12,D77,morning,0
P12,D52,afternoon,0
P12,D57,night,0
P12,D19,afternoon,0
P12,D38,evening,0
P12,D4,afternoon,0
P12,D44,afternoon,0
P12,D55,afternoon,0
P12,D7,evening,1
P12,D89,morning,0
P12,D87,morning,0
P12,D29,afternoon,0
P12,D0,evening,0
P12,D81,night,1
P12,D50,afternoon,0
P12,D83,night,0
P12,D71,morning,0
P12,D36,morning,1
P12,D28,evening,0
P12,D41,night,0
P12,D45,night,1
P12,D12,evening,0
P12,D84,night,0
P12,D33,afternoon,0
P12,D15,morning,0
P12,D64,evening,0
P12,D26,evening,0
P12,D49,evening,0
P12,D20,morning,0
P12,D1,evening,0
P12,D3,afternoon,0
P12,D31,evening,0
P12,D5,afternoon,0
P12,D25,morning,0
P12,D17,night,0
P12,D72,afternoon,0
P12,D14,morning,0
P12,D69,evening,0
P12,D48,morning,0
P12,D21,night,0
P12,D88,afternoon,0
P12,D59,afternoon,0
P12,D51,morning,1
P12,D9,afternoon,0
P12,D24,afternoon,0
P12,D75,afternoon,0
P12,D68,night,0
P13,D55,morning,0
P13,D27,night,0
P13,D25,evening,1
P13,D80,morning,0
P13,D83,morning,0
P13,D58,afternoon,0
P13,D4,morning,0
P13,D84,night,0
P13,D5,afternoon,0
P13,D26,morning,0
P13,D36,afternoon,0
P13,D77,evening,0
P13,D8,evening,0
P13,D68,afternoon,0
P13,D35,evening,1
P13,D19,morning,0
P13,D47,night,0
P13,D76,morning,0
P13,D6,afternoon,0
P13,D82,afternoon,0
P13,D43,evening,0
P13,D75,evening,0
P13,D49,morning,0
P13,D71,afternoon,0
P13,D7,evening,1
P13,D70,morning,0
P13,D88,evening,0
P13,D62,afternoon,0
P13,D42,morning,0
P13,D89,morning,0
P13,D17,afternoon,0
P13,D38,morning,0
P13,D79,afternoon,0
P13,D73,evening,0
P13,D24,night,0
P13,D10,morning,0
P13,D37,morning,0
P13,D61,afternoon,1
P13,D74,afternoon,0
P13,D11,evening,0
P13,D56,morning,0
P13,D29,afternoon,0
P13,D21,night,0
P13,D59,night,0
P13,D18,afternoon,0
P13,D40,morning,0
P13,D87,night,0
P13,D78,morning,0
P13,D57,morning,0
P13,D39,night,0
P13,D31,afternoon,0
P13,D86,morning,0
P13,D23,night,0
P13,D81,morning,1
P13,D46,morning,0
P13,D52,evening,0
P13,D34,evening,0
P13,D20,evening,0
P13,D30,afternoon,0
P13,D15,night,0
P14,D54,morning,1
P14,D16,morning,0
P14,D21,evening,0
P14,D57,morning,0
P14,D52,night,0
P14,D49,morning,0
P14,D13,evening,0
P14,D56,night,0
P14,D22,morning,0
P14,D84,morning,0
P14,D23,morning,1
P14,D50,night,0
P14,D14,night,0
P14,D10,evening,0
P14,D79,evening,0
P14,D28,night,1
P14,D67,night,0
P14,D86,night,0
P14,D58,evening,0
P14,D5,morning,0
P14,D7,morning,0
P14,D59,afternoon,0
P14,D36,afternoon,0
P14,D85,night,0
P14,D46,morning,0
P14,D27,night,0
P14,D29,night,0
P14,D44,afternoon,0
P14,D15,evening,0
P14,D25,afternoon,0
P14,D88,morning,0
P14,D8,morning,0
P14,D9,evening,0
P14,D61,evening,0
P14,D63,morning,0
P14,D60,morning,0
P14,D12,afternoon,0
P14,D19,morning,0
P14,D43,evening,0
P14,D66,evening,0
P14,D42,afternoon,0
P14,D83,morning,0
P14,D20,evening,0
P14,D76,afternoon,0
P14,D32,afternoon,0
P14,D41,afternoon,1
P14,D30,afternoon,0
P14,D82,morning,0
P14,D18,evening,1
P14,D0,afternoon,0
P14,D74,night,0
P14,D4,night,0
P14,D38,night,0
P14,D45,morning,0
P14,D77,morning,0
P14,D80,morning,0
P14,D3,evening,0
P14,D31,afternoon,0
P14,D81,night,1
P14,D70,evening,0
P15,D81,morning,1
P15,D41,afternoon,0
P15,D2,morning,0
P15,D63,morning,0
P15,D70,afternoon,0
P15,D71,morning,0
P15,D24,afternoon,0
P15,D35,night,1
P15,D78,afternoon,0
P15,D86,evening,0
P15,D9,night,0
P15,D73,evening,0
P15,D44,evening,0
P15,D52,night,0
P15,D88,afternoon,0
P15,D49,evening,0
P15,D72,afternoon,0
P15,D53,night,1
P15,D27,night,0
P15,D42,night,0
P15,D62,morning,0
P15,D61,night,0
P15,D34,evening,0
P15,D58,morning,0
P15,D85,night,0
P15,D32,afternoon,0
P15,D23,evening,0
P15,D83,morning,0
P15,D51,evening,0
P15,D6,evening,0
P15,D22,morning,0
P15,D84,evening,0
P15,D14,morning,0
P15,D19,morning,0
P15,D75,evening,0
P15,D1,evening,0
P15,D11,afternoon,1
P15,D7,night,0
P15,D68,afternoon,0
P15,D12,afternoon,0
P15,D33,morning,0
P15,D77,morning,1
P15,D67,morning,0
P15,D25,evening,1
P15,D66,night,0
P15,D59,morning,0
P15,D10,night,0
P15,D45,afternoon,1
P15,D30,night,0
P15,D54,morning,0
P15,D20,evening,0
P15,D31,morning,0
P15,D56,afternoon,1
P15,D3,evening,0
P15,D38,evening,0
P15,D69,afternoon,0
P15,D57,night,0
P15,D40,evening,0
P15,D74,morning,0
P15,D16,evening,0
P16,D70,night,0
P16,D9,evening,0
P16,D88,evening,0
P16,D65,night,0
P16,D57,evening,0
P16,D87,morning,0
P16,D69,afternoon,0
P16,D3,morning,0
P16,D47,evening,0
P16,D60,afternoon,0
P16,D42,afternoon,0
P16,D23,night,0
P16,D15,afternoon,0
P16,D49,evening,0
P16,D13,morning,0
P16,D29,night,0
P16,D31,evening,0
P16,D45,afternoon,0
P16,D58,evening,0
P16,D2,evening,0
P16,D24,afternoon,0
P16,D26,evening,0
P16,D78,night,0
P16,D34,night,0
P16,D12,afternoon,0
P16,D32,evening,0
P16,D73,afternoon,0
P16,D1,afternoon,0
P16,D17,evening,0
P16,D14,night,0
P16,D79,afternoon,0
P16,D66,morning,0
P16,D0,afternoon,0
P16,D37,evening,0
P16,D39,morning,0
P16,D64,night,0
P16,D20,afternoon,0
P16,D50,afternoon,0
P16,D28,morning,0
P16,D77,afternoon,0
P16,D30,night,0
P16,D4,night,0
P16,D38,morning,0
P16,D80,night,1
P16,D68,evening,0
P16,D48,evening,0
P16,D84,night,0
P16,D86,evening,0
P16,D54,afternoon,0
P16,D71,afternoon,0
P16,D67,evening,0
P16,D8,morning,0
P16,D10,morning,0
P16,D81,afternoon,0
P16,D55,morning,0
P16,D82,afternoon,0
P16,D19,morning,0
P16,D44,evening,0
P16,D25,night,0
P16,D53,evening,0
P17,D35,morning,1
P17,D86,evening,0
P17,D19,night,0
P17,D0,evening,0
P17,D39,afternoon,0
P17,D63,morning,0
P17,D79,morning,1
P17,D3,morning,0
P17,D14,night,0
P17,D41,morning,1
P17,D10,evening,0
P17,D50,evening,0
P17,D61,evening,0
P17,D47,afternoon,0
P17,D45,afternoon,0
P17,D40,night,0
P17,D75,evening,0
P17,D8,morning,1
P17,D21,afternoon,0
P17,D26,evening,0
P17,D17,night,0
P17,D88,night,0
P17,D36,morning,1
P17,D51,night,0
P17,D56,night,0
P17,D85,afternoon,0
P17,D69,evening,0
P17,D1,afternoon,0
P17,D66,evening,0
P17,D16,evening,0
P17,D59,night,1
P17,D32,night,0
P17,D25,night,0
P17,D6,afternoon,1
P17,D4,morning,0
P17,D34,evening,0
P17,D33,night,0
P17,D87,morning,0
P17,D5,night,0
P17,D30,evening,0
P17,D28,evening,1
P17,D81,night,1
P17,D60,evening,0
P17,D76,evening,0
P17,D11,afternoon,0
P17,D31,afternoon,0
P17,D22,night,0
P17,D15,night,0
P17,D37,morning,0
P17,D7,night,0
P17,D67,morning,0
P17,D71,afternoon,0
P17,D46,morning,0
P17,D49,night,0
P17,D29,evening,0
P17,D72,afternoon,0
P17,D68,evening,1
P17,D38,night,1
P17,D9,night,0
P17,D74,evening,0
P18,D13,afternoon,0
P18,D74,morning,0
P18,D3,morning,0
P18,D56,night,0
P18,D54,evening,0
P18,D77,evening,0
P18,D60,afternoon,0
P18,D57,night,0
P18,D49,night,0
P18,D73,afternoon,0
P18,D82,night,0
P18,D71,morning,0
P18,D46,afternoon,0
P18,D67,evening,0
P18,D79,night,0
P18,D15,evening,0
P18,D12,evening,0
P18,D37,evening,0
P18,D59,night,0
P18,D68,evening,0
P18,D61,morning,0
P18,D1,night,0
P18,D83,morning,0
P18,D23,afternoon,0
P18,D58,morning,0
P18,D84,evening,0
P18,D69,night,0
P18,D81,night,0
P18,D36,morning,1
P18,D44,afternoon,0
P18,D48,afternoon,0
P18,D76,afternoon,0
P18,D30,evening,0
P18,D40,night,0
P18,D45,night,0
P18,D86,afternoon,0
P18,D64,afternoon,0
P18,D29,afternoon,0
P18,D32,afternoon,0
P18,D9,afternoon,0
P18,D51,afternoon,0
P18,D42,afternoon,0
P18,D88,night,0
P18,D20,morning,0
P18,D6,morning,0
P18,D25,morning,0
P18,D21,morning,0
P18,D63,night,0
P18,D14,morning,0
P18,D55,morning,0
P18,D22,afternoon,0
P18,D78,evening,0
P18,D5,afternoon,0
P18,D87,afternoon,0
P18,D38,afternoon,0
P18,D10,night,0
P18,D26,afternoon,0
P18,D43,evening,0
P18,D8,afternoon,0
P18,D18,afternoon,0
P19,D59,evening,0
P19,D38,morning,0
P19,D67,night,0
P19,D53,evening,1
P19,D21,afternoon,0
P19,D25,afternoon,0
P19,D63,morning,0
P19,D64,afternoon,0
P19,D28,evening,0
P19,D69,night,0
P19,D3,night,0
P19,D84,afternoon,0
P19,D70,night,0
P19,D89,afternoon,0
P19,D85,afternoon,0
P19,D32,night,0
P19,D68,afternoon,0
P19,D17,night,0
P19,D77,night,0
P19,D1,evening,0
P19,D24,afternoon,0
P19,D41,night,0
P19,D74,morning,0
P19,D46,morning,0
P19,D78,evening,0
P19,D75,evening,0
P19,D73,morning,0
P19,D4,evening,0
P19,D48,evening,0
P19,D19,night,0
P19,D10,evening,0
P19,D57,night,0
P19,D0,night,1
P19,D56,afternoon,0
P19,D18,night,0
P19,D29,night,0
P19,D12,evening,0
P19,D45,evening,0
P19,D62,morning,0
P19,D33,morning,0
P19,D82,evening,0
P19,D37,night,0
P19,D61,evening,0
P19,D81,afternoon,0
P19,D5,afternoon,0
P19,D8,evening,0
P19,D9,afternoon,0
P19,D20,evening,0
P19,D27,night,0
P19,D42,night,0
P19,D36,afternoon,0
P19,D52,afternoon,0
P19,D65,evening,0
P19,D2,afternoon,0
P19,D34,night,0
P19,D31,morning,0
P19,D15,evening,0
P19,D11,night,0
P19,D80,morning,0
P19,D58,morning,0
P20,D71,morning,1
P20,D34,morning,0
P20,D68,night,1
P20,D65,night,0
P20,D49,morning,0
P20,D73,night,0
P20,D13,night,0
P20,D57,afternoon,0
P20,D47,night,0
P20,D4,evening,0
P20,D62,morning,0
P20,D46,evening,0
P20,D55,night,0
P20,D61,evening,0
P20,D17,evening,0
P20,D79,afternoon,0
P20,D77,morning,0
P20,D30,morning,0
P20,D52,morning,0
P20,D31,night,0
P20,D18,evening,1
P20,D24,night,0
P20,D19,afternoon,0
P20,D72,morning,0
P20,D69,night,0
P20,D54,night,0
P20,D14,night,0
P20,D26,night,0
P20,D36,evening,1
P20,D78,afternoon,0
P20,D84,evening,0
P20,D2,night,0
P20,D1,evening,0
P20,D20,evening,1
P20,D28,morning,1
P20,D74,afternoon,0
P20,D42,night,0
P20,D87,night,0
P20,D11,afternoon,0
P20,D23,afternoon,1
P20,D76,evening,0
P20,D64,evening,0
P20,D5,evening,0
P20,D85,afternoon,0
